ID;Nome Completo;Gênero;Data de Nascimento;Idade;Estado Civil;Cargo;Departamento;Data de Admissão;Salário (R$);Tipo de Contrato;Escolaridade;Status;Cidade;Estado;Home Office;Avaliação de Desempenho (0-10);Faltas no Ano;Treinamentos Concluídos
274;Sra. Júlia Rezende;Masculino;1975-06-21;49;Casado(a);Assistente Administrativo;Marketing;2022-05-06;2256.11;CLT;Ensino Médio;Desligado;Ramos das Flores;MG;Sim;6.0;0;7
275;João Santos;Feminino;1981-11-25;43;Divorciado(a);Coordenador de Marketing;Financeiro;2015-02-11;7634.19;Temporário;Pós-graduação;Desligado;das Neves;RS;Não;3.0;16;12
276;Luiz Fernando Porto;Outro;1973-04-06;52;Solteiro(a);Analista de RH;Logística;2022-01-05;3999.14;Temporário;Superior Completo;Desligado;Rodrigues do Sul;RJ;Não;0.6;8;10
277;Alana da Rocha;Feminino;1979-12-09;45;Divorciado(a);Coordenador de Marketing;Tecnologia da Informação;2018-02-27;5024.75;PJ;Ensino Médio;Desligado;Gomes;BA;Sim;7.2;20;15
278;Isadora Costela;Feminino;1996-01-03;29;Divorciado(a);Contador;Financeiro;2011-12-27;4470.69;CLT;Superior Incompleto;Desligado;Correia;RS;Não;9.1;11;9
279;Kaique Silveira;Masculino;1995-03-31;30;Casado(a);Coordenador de Marketing;Recursos Humanos;2004-12-05;6147.73;Temporário;Superior Incompleto;Desligado;da Costa;RJ;Sim;3.6;9;13
280;Marina Fernandes;Feminino;2000-06-19;24;Divorciado(a);Coordenador de Marketing;Logística;2019-08-17;5529.18;CLT;Pós-graduação;Ativo;Nogueira;GO;Sim;4.7;6;3
281;Mariane Peixoto;Outro;1986-04-08;39;Viúvo(a);Estagiário de TI;Marketing;2023-11-02;1447.86;PJ;Superior Incompleto;Ativo;Barros;BA;Não;9.9;14;4
282;Alexandre Mendes;Feminino;1991-09-08;33;Casado(a);Desenvolvedor;Financeiro;2009-11-25;4997.89;PJ;Superior Completo;Ativo;Moreira Grande;SP;Não;2.7;5;5
283;Vitor Hugo Oliveira;Feminino;1990-11-02;34;Solteiro(a);Gerente de Projetos;Logística;2017-01-02;9168.56;Estágio;Pós-graduação;Desligado;Castro;CE;Não;0.0;17;6
284;Bernardo Rodrigues;Outro;1994-07-07;30;Divorciado(a);Analista de RH;Marketing;2014-01-23;3635.27;PJ;Ensino Médio;Ativo;Teixeira dos Dourados;RS;Sim;6.9;11;9
285;Antônio Rocha;Masculino;1966-10-23;58;Solteiro(a);Contador;Logística;2014-02-11;4971.68;PJ;Ensino Médio;Ativo;Souza de da Rosa;PR;Não;4.6;16;10
286;Maitê Moraes;Feminino;2000-12-06;24;Casado(a);Auxiliar de Logística;Financeiro;2021-04-17;1751.48;PJ;Superior Incompleto;Desligado;da Mota das Pedras;SP;Sim;2.2;4;6
287;Maria Cecília Costa;Outro;1991-03-17;34;Solteiro(a);Designer Gráfico;Logística;2015-07-13;3087.27;Temporário;Ensino Médio;Desligado;Caldeira;PR;Sim;5.9;1;3
288;Mariane Pereira;Outro;1977-12-25;47;Solteiro(a);Analista de RH;Administrativo;2003-03-24;2673.68;Estágio;Pós-graduação;Ativo;Lopes do Sul;DF;Não;4.7;4;6
289;Gustavo Henrique Farias;Outro;1984-11-30;40;Solteiro(a);Coordenador de Marketing;Financeiro;2018-11-09;6815.83;Temporário;Superior Incompleto;Desligado;Pereira;RJ;Sim;2.8;3;15
290;Nathan Rezende;Masculino;2001-11-17;23;Casado(a);Coordenador de Marketing;Logística;2002-08-01;7905.92;Temporário;Pós-graduação;Desligado;Lopes de Viana;MG;Sim;5.5;6;15
291;Dra. Emilly Viana;Feminino;1980-12-29;44;Casado(a);Analista de RH;Recursos Humanos;2022-06-08;3507.45;CLT;Pós-graduação;Ativo;Silva;RJ;Sim;7.2;3;8
292;Felipe das Neves;Outro;1976-11-29;48;Casado(a);Analista Financeiro;Marketing;2002-07-23;3528.25;CLT;Ensino Médio;Ativo;Sales;SP;Não;3.6;10;13
293;Diego da Rosa;Outro;1998-01-10;27;Solteiro(a);Desenvolvedor;Recursos Humanos;2006-11-30;4029.02;PJ;Superior Incompleto;Desligado;Farias de Minas;BA;Não;9.6;8;2
294;Maria Sophia da Conceição;Feminino;1999-09-12;25;Divorciado(a);Gerente de Projetos;Recursos Humanos;2010-01-14;9003.89;Estágio;Superior Completo;Desligado;Duarte;CE;Não;6.5;5;3
295;Pietra da Rosa;Masculino;1996-11-13;28;Solteiro(a);Gerente de Projetos;Recursos Humanos;2016-10-21;9080.14;Estágio;Pós-graduação;Ativo;Caldeira;GO;Não;7.8;19;0
296;Srta. Rafaela Nogueira;Outro;1994-05-19;31;Casado(a);Analista Financeiro;Financeiro;2012-12-29;3225.87;Estágio;Pós-graduação;Ativo;da Luz;RJ;Não;6.5;0;7
297;Joaquim Ferreira;Outro;1984-08-09;40;Divorciado(a);Estagiário de TI;Logística;2024-10-14;1612.94;CLT;Pós-graduação;Ativo;Pinto;CE;Não;6.6;20;12
298;Ana Laura Souza;Masculino;1997-06-23;27;Solteiro(a);Analista de RH;Administrativo;2012-03-25;3901.56;Estágio;Pós-graduação;Ativo;Novaes;RJ;Não;3.2;10;8
299;Diogo da Conceição;Masculino;1988-02-09;37;Casado(a);Estagiário de TI;Administrativo;2009-12-09;1427.18;PJ;Ensino Médio;Desligado;Castro;CE;Não;0.9;15;14
300;Sr. Bernardo Moreira;Feminino;1999-11-25;25;Solteiro(a);Analista Financeiro;Administrativo;2005-04-20;4306.75;CLT;Pós-graduação;Desligado;Mendes Grande;SP;Sim;8.3;19;9
301;Yuri Silveira;Outro;1975-05-08;50;Casado(a);Analista Financeiro;Marketing;2021-09-18;3726.68;CLT;Superior Incompleto;Desligado;Pires;BA;Não;7.2;11;14
302;Sr. Kevin Dias;Masculino;1966-01-26;59;Solteiro(a);Assistente Administrativo;Recursos Humanos;2019-05-25;2038.95;Temporário;Superior Completo;Ativo;Lima;SP;Sim;4.9;13;3
303;Luiz Miguel Campos;Feminino;2003-07-14;21;Casado(a);Assistente Administrativo;Recursos Humanos;2024-03-22;2451.15;Estágio;Superior Incompleto;Desligado;da Mota;RS;Não;1.1;13;1
304;Lucas Gabriel Gonçalves;Outro;1965-10-30;59;Solteiro(a);Analista Financeiro;Financeiro;2006-05-25;4316.91;PJ;Pós-graduação;Ativo;Melo de Duarte;DF;Sim;5.5;13;15
305;Diogo Costa;Outro;1966-03-07;59;Casado(a);Designer Gráfico;Tecnologia da Informação;2020-12-07;4041.84;PJ;Ensino Médio;Desligado;Mendes;GO;Não;5.0;12;13
306;Valentina Pereira;Outro;2004-11-12;20;Casado(a);Coordenador de Marketing;Financeiro;2011-06-09;7872.58;Temporário;Pós-graduação;Ativo;Porto do Sul;MG;Não;6.0;16;9
307;Dr. Antônio Lopes;Outro;2004-01-20;21;Divorciado(a);Estagiário de TI;Administrativo;2005-12-29;1330.41;PJ;Superior Completo;Desligado;das Neves da Mata;MG;Sim;5.0;20;10
308;Renan Costa;Outro;1983-06-07;41;Solteiro(a);Auxiliar de Logística;Logística;2016-04-06;1836.26;Estágio;Superior Completo;Desligado;da Rosa da Prata;SP;Sim;0.3;4;1
309;Luiz Fernando Martins;Outro;1993-10-24;31;Solteiro(a);Assistente Administrativo;Marketing;2002-08-07;2325.13;PJ;Superior Completo;Desligado;Moraes da Serra;MG;Sim;6.9;9;6
310;Luiz Otávio Nunes;Outro;1996-12-16;28;Solteiro(a);Auxiliar de Logística;Financeiro;2006-12-10;1571.74;PJ;Pós-graduação;Ativo;das Neves;DF;Não;6.9;1;12
311;Carolina Viana;Feminino;1999-10-26;25;Viúvo(a);Auxiliar de Logística;Logística;2013-05-30;1537.66;Temporário;Superior Incompleto;Desligado;da Rocha;RS;Não;7.6;17;6
312;Dr. Thiago Duarte;Outro;1968-09-23;56;Casado(a);Coordenador de Marketing;Financeiro;2004-11-28;5120.99;CLT;Superior Incompleto;Ativo;Nascimento;DF;Sim;3.8;13;8
313;Sr. Enzo Rezende;Outro;1983-02-13;42;Divorciado(a);Gerente de Projetos;Tecnologia da Informação;2012-03-02;9919.93;Temporário;Ensino Médio;Desligado;Ribeiro;CE;Sim;0.4;10;1
314;Matheus Sales;Outro;1992-08-22;32;Divorciado(a);Analista Financeiro;Logística;2004-12-23;4100.32;CLT;Superior Completo;Ativo;Rezende;MG;Sim;7.9;5;13
315;Vitor Hugo da Cunha;Outro;1975-09-12;49;Viúvo(a);Desenvolvedor;Marketing;2023-04-29;4663.59;PJ;Superior Completo;Desligado;da Rosa da Mata;BA;Não;2.2;19;15
316;Isaac Moraes;Outro;1997-11-06;27;Solteiro(a);Desenvolvedor;Administrativo;2016-07-07;5038.02;PJ;Superior Incompleto;Ativo;da Mota do Sul;BA;Não;9.2;3;12
317;Clara Oliveira;Feminino;1974-05-11;51;Divorciado(a);Analista de RH;Logística;2013-12-10;3733.16;Temporário;Pós-graduação;Desligado;Aragão;SP;Não;9.0;6;10
318;Brenda Oliveira;Outro;1966-08-09;58;Solteiro(a);Desenvolvedor;Tecnologia da Informação;2002-11-20;6914.89;CLT;Ensino Médio;Ativo;Almeida de Viana;RS;Não;8.4;6;13
319;Esther da Rosa;Outro;1992-01-11;33;Solteiro(a);Gerente de Projetos;Recursos Humanos;2017-10-20;9296.13;Temporário;Ensino Médio;Ativo;Porto;RJ;Sim;1.8;8;2
320;Dra. Maria Nascimento;Outro;1978-08-23;46;Casado(a);Coordenador de Marketing;Financeiro;2009-06-22;5858.11;Estágio;Pós-graduação;Desligado;da Costa da Praia;SP;Não;6.7;17;0
321;Sr. Luiz Otávio da Mata;Outro;1992-07-01;32;Solteiro(a);Designer Gráfico;Recursos Humanos;2011-04-28;3991.5;CLT;Superior Completo;Ativo;da Cruz;PR;Não;6.1;9;14
322;Manuela Cardoso;Feminino;1989-02-03;36;Viúvo(a);Analista de RH;Financeiro;2013-01-20;2734.49;PJ;Superior Incompleto;Desligado;Rodrigues Grande;DF;Não;9.6;4;9
323;Stephany da Rosa;Outro;1975-01-09;50;Divorciado(a);Analista de RH;Logística;2006-12-24;3812.15;PJ;Ensino Médio;Ativo;Correia;SP;Não;5.4;2;9
324;Sophia Pinto;Masculino;1972-02-10;53;Divorciado(a);Assistente Administrativo;Financeiro;2007-01-23;2433.94;PJ;Superior Incompleto;Ativo;Vieira;RS;Não;1.9;5;1
325;Gabrielly Carvalho;Outro;1973-01-02;52;Viúvo(a);Estagiário de TI;Recursos Humanos;2024-04-13;1374.39;CLT;Superior Completo;Ativo;Moraes;RS;Não;9.5;11;4
326;Esther Almeida;Outro;1990-07-21;34;Casado(a);Desenvolvedor;Marketing;2015-01-30;5858.55;PJ;Superior Completo;Desligado;da Costa do Campo;CE;Não;6.2;9;4
327;Dra. Maria Clara Viana;Outro;1968-08-13;56;Divorciado(a);Auxiliar de Logística;Financeiro;2017-10-29;1618.05;Temporário;Superior Incompleto;Ativo;Moreira;PE;Não;8.4;4;10
328;Dr. Rafael Pires;Feminino;1988-03-09;37;Viúvo(a);Analista Financeiro;Marketing;2012-06-17;4549.53;Estágio;Ensino Médio;Ativo;Oliveira;GO;Sim;8.4;4;6
329;Maria Nunes;Feminino;1981-04-25;44;Solteiro(a);Desenvolvedor;Recursos Humanos;2018-12-03;6548.76;CLT;Pós-graduação;Ativo;da Mota;SP;Não;5.4;17;15
330;Maysa Pereira;Outro;2003-08-15;21;Casado(a);Auxiliar de Logística;Financeiro;2022-04-30;1656.31;Temporário;Superior Incompleto;Desligado;Ferreira dos Dourados;DF;Sim;4.0;16;0
331;Dr. Theo Cavalcanti;Outro;1982-01-09;43;Casado(a);Designer Gráfico;Administrativo;2013-01-09;3081.93;PJ;Pós-graduação;Ativo;Almeida Verde;MG;Sim;7.4;15;11
332;Sofia Dias;Masculino;1978-01-04;47;Casado(a);Analista Financeiro;Tecnologia da Informação;2020-02-11;3125.72;Temporário;Superior Incompleto;Ativo;Castro de Nunes;RS;Não;3.9;14;1
333;Eloah Cardoso;Masculino;1967-05-22;58;Divorciado(a);Desenvolvedor;Administrativo;2007-09-18;6905.32;Temporário;Superior Completo;Ativo;Porto;PE;Não;3.7;20;2
334;Raquel Porto;Outro;1992-03-11;33;Divorciado(a);Contador;Tecnologia da Informação;2005-05-15;4790.93;Temporário;Superior Completo;Desligado;da Rosa;CE;Sim;5.0;4;14
335;Cecília Cardoso;Masculino;1984-08-26;40;Casado(a);Desenvolvedor;Logística;2015-07-17;5930.43;PJ;Superior Incompleto;Ativo;Aragão dos Dourados;MG;Não;6.0;3;7
336;Pedro Miguel Silva;Feminino;1998-09-25;26;Divorciado(a);Desenvolvedor;Financeiro;2008-08-24;6025.69;Estágio;Superior Incompleto;Ativo;Martins;PE;Sim;2.4;4;5
337;Sr. Theo Nogueira;Masculino;2002-03-19;23;Solteiro(a);Designer Gráfico;Tecnologia da Informação;2016-07-09;2895.05;Temporário;Superior Incompleto;Desligado;Monteiro;GO;Sim;8.8;9;2
338;Joana Castro;Masculino;1978-09-30;46;Viúvo(a);Designer Gráfico;Financeiro;2002-07-05;4274.41;PJ;Superior Incompleto;Desligado;Jesus;GO;Sim;7.9;5;8
339;Henrique Sales;Masculino;1989-04-10;36;Divorciado(a);Analista Financeiro;Logística;2012-06-07;4181.19;PJ;Pós-graduação;Desligado;Fernandes de da Mota;MG;Sim;0.2;16;13
340;Emanuelly Jesus;Masculino;1966-07-19;58;Solteiro(a);Gerente de Projetos;Financeiro;2021-03-19;11508.04;CLT;Ensino Médio;Ativo;Pereira;CE;Sim;9.0;17;0
341;Dra. Heloísa Moreira;Outro;1966-09-03;58;Viúvo(a);Estagiário de TI;Financeiro;2001-02-04;1422.23;CLT;Pós-graduação;Ativo;Dias Grande;CE;Não;3.5;18;3
342;Guilherme Souza;Feminino;1966-08-18;58;Casado(a);Coordenador de Marketing;Financeiro;2015-02-18;7180.51;CLT;Superior Completo;Desligado;Gomes de Alves;PR;Sim;0.1;0;3
343;Maria Fernanda das Neves;Outro;1994-09-29;30;Solteiro(a);Contador;Administrativo;2017-02-17;4013.55;Temporário;Pós-graduação;Desligado;Araújo Verde;RJ;Sim;4.3;18;8
344;Sra. Pietra Carvalho;Feminino;1965-09-06;59;Viúvo(a);Designer Gráfico;Marketing;2010-12-30;3840.2;Estágio;Superior Incompleto;Desligado;Alves;DF;Não;1.8;17;15
345;Lavínia Lopes;Feminino;1998-12-30;26;Divorciado(a);Designer Gráfico;Marketing;2008-11-23;4116.13;Estágio;Superior Incompleto;Ativo;Alves das Pedras;RS;Não;7.8;5;3
346;João Vitor Novaes;Masculino;1980-08-29;44;Viúvo(a);Auxiliar de Logística;Logística;2019-09-25;1929.82;CLT;Superior Incompleto;Desligado;Azevedo Paulista;SP;Sim;8.2;15;13
347;Amanda Castro;Masculino;1977-12-24;47;Solteiro(a);Coordenador de Marketing;Tecnologia da Informação;2009-09-08;5797.92;CLT;Pós-graduação;Desligado;Correia Alegre;GO;Não;7.1;19;1
348;Davi Lucca Moreira;Masculino;1994-05-14;31;Viúvo(a);Analista Financeiro;Recursos Humanos;2023-05-05;3403.41;Temporário;Superior Incompleto;Ativo;Rodrigues das Pedras;GO;Sim;6.2;1;11
349;Brenda Martins;Masculino;1989-11-26;35;Solteiro(a);Gerente de Projetos;Recursos Humanos;2022-05-21;11984.09;Estágio;Superior Completo;Desligado;da Costa de Fogaça;PE;Sim;5.2;2;2
350;Enrico Souza;Outro;1999-03-14;26;Divorciado(a);Estagiário de TI;Logística;2018-05-01;1408.86;Temporário;Superior Incompleto;Ativo;Nascimento;CE;Não;5.7;8;5
351;Srta. Vitória Moreira;Feminino;1989-08-25;35;Solteiro(a);Estagiário de TI;Recursos Humanos;2003-11-30;1501.9;Temporário;Ensino Médio;Desligado;Monteiro de Jesus;DF;Não;6.9;12;15
352;Srta. Isabella Alves;Masculino;1978-07-23;46;Divorciado(a);Analista Financeiro;Administrativo;2011-08-22;3921.44;CLT;Pós-graduação;Ativo;Vieira;PR;Sim;3.8;7;7
353;Gustavo da Conceição;Feminino;1986-07-27;38;Viúvo(a);Auxiliar de Logística;Logística;2008-11-19;1874.96;Temporário;Superior Incompleto;Desligado;Porto;RJ;Não;6.7;10;2
354;Júlia Peixoto;Outro;1990-08-23;34;Casado(a);Analista Financeiro;Marketing;2016-03-17;3707.08;Temporário;Superior Incompleto;Ativo;da Rosa de da Rocha;CE;Sim;2.3;7;8
355;Sr. Bruno Correia;Masculino;1991-02-27;34;Casado(a);Assistente Administrativo;Tecnologia da Informação;2001-09-25;2385.43;Temporário;Superior Incompleto;Ativo;Farias;RJ;Sim;6.8;15;0
356;Dr. Fernando Carvalho;Outro;1980-05-06;45;Solteiro(a);Analista Financeiro;Marketing;2019-06-28;4241.33;Estágio;Superior Completo;Desligado;Lima Alegre;MG;Não;4.0;18;4
357;Helena Aragão;Masculino;2004-05-30;20;Viúvo(a);Analista Financeiro;Logística;2013-12-08;3065.13;Temporário;Pós-graduação;Ativo;Silveira de Martins;CE;Sim;7.0;14;10
358;Luiza Azevedo;Outro;1969-06-25;55;Solteiro(a);Analista de RH;Administrativo;2015-09-24;2816.13;CLT;Superior Completo;Desligado;Martins de Rodrigues;GO;Não;1.9;8;7
359;Renan Nogueira;Feminino;1969-09-28;55;Viúvo(a);Designer Gráfico;Marketing;2002-11-24;3422.07;Estágio;Pós-graduação;Ativo;Oliveira do Oeste;PE;Não;3.7;12;8
360;Sra. Ana Lívia da Cruz;Feminino;1968-12-17;56;Casado(a);Designer Gráfico;Tecnologia da Informação;2020-06-20;4464.76;PJ;Ensino Médio;Desligado;Silveira;RS;Não;8.6;6;4
361;João Lucas da Luz;Outro;1996-09-19;28;Casado(a);Analista Financeiro;Recursos Humanos;2024-07-02;3353.21;Estágio;Superior Incompleto;Desligado;Fogaça;CE;Não;2.5;18;1
362;Olivia Mendes;Feminino;1979-05-23;46;Solteiro(a);Gerente de Projetos;Recursos Humanos;2023-03-09;8077.34;Temporário;Pós-graduação;Ativo;da Rosa da Praia;CE;Não;2.6;11;8
363;Dr. Nicolas Rodrigues;Feminino;1971-05-28;53;Solteiro(a);Contador;Recursos Humanos;2016-05-15;4377.73;PJ;Superior Incompleto;Desligado;da Conceição da Praia;BA;Não;6.7;15;14
364;Sr. Cauê Freitas;Masculino;1977-02-05;48;Viúvo(a);Designer Gráfico;Marketing;2018-12-05;3588.38;PJ;Superior Incompleto;Desligado;Monteiro de da Luz;PE;Não;8.5;2;2
365;Anthony Lima;Masculino;1973-08-23;51;Divorciado(a);Assistente Administrativo;Marketing;2025-03-22;2021.81;Temporário;Superior Completo;Desligado;Silva;PR;Não;7.8;11;14
366;Sr. Pedro da Mata;Feminino;1985-05-26;39;Casado(a);Gerente de Projetos;Recursos Humanos;2018-08-28;7625.2;PJ;Superior Completo;Ativo;Lima;RS;Sim;4.0;3;2
367;João Guilherme Pinto;Feminino;1972-12-06;52;Solteiro(a);Analista de RH;Financeiro;2022-11-18;3285.97;CLT;Ensino Médio;Desligado;Novaes;GO;Sim;0.8;12;9
368;Amanda Caldeira;Masculino;1974-11-10;50;Casado(a);Coordenador de Marketing;Financeiro;2016-10-24;6692.68;PJ;Superior Incompleto;Ativo;Pereira de Goiás;SP;Não;8.6;10;15
369;Murilo Moreira;Feminino;1971-04-08;54;Divorciado(a);Estagiário de TI;Financeiro;2018-02-04;1281.07;PJ;Pós-graduação;Desligado;Fernandes de da Mata;DF;Não;9.1;15;7
370;Nathan Azevedo;Masculino;1996-03-01;29;Viúvo(a);Coordenador de Marketing;Marketing;2015-08-16;5942.71;PJ;Superior Completo;Ativo;Correia Grande;SP;Sim;3.4;15;0
371;Sarah Fernandes;Outro;1972-03-23;53;Viúvo(a);Analista Financeiro;Marketing;2024-12-31;3018.27;Estágio;Superior Completo;Ativo;Gonçalves;SP;Não;1.9;17;13
372;Emanuelly Duarte;Feminino;1980-11-08;44;Casado(a);Gerente de Projetos;Administrativo;2015-08-26;10685.59;Estágio;Pós-graduação;Ativo;Teixeira;PR;Sim;4.2;7;8
373;Emilly Nascimento;Feminino;1980-08-15;44;Divorciado(a);Contador;Tecnologia da Informação;2012-07-08;5633.71;PJ;Superior Incompleto;Desligado;Mendes de Cunha;RJ;Não;6.2;8;15
374;Emanuella Fogaça;Masculino;2001-09-01;23;Divorciado(a);Analista de RH;Tecnologia da Informação;2004-10-27;2574.45;CLT;Superior Incompleto;Ativo;Gonçalves Verde;PR;Não;1.3;14;0
375;Luiz Otávio Porto;Masculino;1978-01-20;47;Solteiro(a);Gerente de Projetos;Recursos Humanos;2003-05-28;9467.9;Temporário;Pós-graduação;Desligado;Souza do Norte;CE;Não;4.6;1;10
376;Guilherme Peixoto;Masculino;1966-08-23;58;Casado(a);Analista de RH;Marketing;2011-03-15;3663.48;CLT;Pós-graduação;Ativo;da Luz de Minas;RS;Não;8.2;0;3
377;Luiz Henrique Monteiro;Outro;1976-05-28;48;Casado(a);Contador;Financeiro;2019-11-28;4117.91;CLT;Superior Incompleto;Desligado;Novaes;RJ;Sim;4.7;9;10
378;Vinicius Costela;Masculino;1988-05-01;37;Solteiro(a);Estagiário de TI;Logística;2002-10-03;1273.28;Estágio;Superior Completo;Ativo;Vieira;BA;Sim;8.6;6;3
379;Henrique Nunes;Masculino;1969-10-10;55;Viúvo(a);Auxiliar de Logística;Recursos Humanos;2005-02-01;1617.15;Temporário;Ensino Médio;Desligado;Novaes;RS;Sim;9.7;18;15
380;Sofia Gomes;Outro;1986-12-09;38;Casado(a);Auxiliar de Logística;Recursos Humanos;2017-12-29;1674.11;Estágio;Ensino Médio;Desligado;Pires;SP;Sim;3.6;4;3
381;Srta. Heloísa Viana;Masculino;2000-10-28;24;Viúvo(a);Assistente Administrativo;Marketing;2000-07-04;2487.17;Temporário;Pós-graduação;Ativo;Aragão Grande;SP;Não;3.6;4;8
382;João Gabriel Moraes;Masculino;1998-09-09;26;Viúvo(a);Analista Financeiro;Logística;2013-06-16;3589.43;Estágio;Superior Incompleto;Ativo;Cardoso;DF;Não;3.2;14;8
383;Pedro Miguel Sales;Outro;1975-02-15;50;Casado(a);Desenvolvedor;Logística;2023-12-13;4465.08;Temporário;Superior Completo;Desligado;Cardoso;CE;Sim;7.8;16;12
384;Manuela Rocha;Outro;1993-08-26;31;Casado(a);Analista de RH;Logística;2001-06-26;3785.24;PJ;Superior Completo;Ativo;Melo de Barbosa;DF;Não;1.9;15;4
385;Felipe Araújo;Outro;1998-04-08;27;Divorciado(a);Auxiliar de Logística;Financeiro;2003-07-11;1948.63;CLT;Ensino Médio;Ativo;Lopes;SP;Sim;1.8;1;6
386;Bryan Sales;Masculino;1979-06-23;45;Viúvo(a);Assistente Administrativo;Recursos Humanos;2017-02-25;1822.27;Estágio;Pós-graduação;Desligado;Rezende Grande;SP;Não;2.2;2;0
387;Ana Vitória Barbosa;Masculino;1979-07-18;45;Viúvo(a);Desenvolvedor;Financeiro;2016-05-25;6403.06;CLT;Superior Completo;Desligado;Martins;BA;Sim;8.2;8;1
388;Isabel Carvalho;Outro;2005-05-10;20;Solteiro(a);Coordenador de Marketing;Recursos Humanos;2012-10-26;7806.11;CLT;Ensino Médio;Ativo;Fogaça;DF;Não;1.9;16;7
389;Thiago da Costa;Outro;1971-05-02;54;Casado(a);Estagiário de TI;Administrativo;2023-10-09;1534.88;CLT;Superior Completo;Desligado;Nogueira da Mata;PE;Sim;1.7;5;12
390;João Gabriel Aragão;Outro;1972-11-06;52;Divorciado(a);Gerente de Projetos;Logística;2025-02-21;11992.17;Estágio;Superior Completo;Desligado;Vieira de Porto;DF;Não;8.4;13;13
391;Sra. Luna da Costa;Outro;1982-06-28;42;Divorciado(a);Designer Gráfico;Tecnologia da Informação;2003-07-01;3757.35;PJ;Pós-graduação;Desligado;da Mata da Serra;BA;Não;4.5;12;0
392;Catarina Melo;Outro;1978-07-28;46;Solteiro(a);Coordenador de Marketing;Logística;2024-07-25;4557.06;PJ;Superior Completo;Ativo;Freitas;PR;Sim;2.1;10;0
393;Dr. Matheus Monteiro;Outro;1970-09-17;54;Divorciado(a);Estagiário de TI;Logística;2001-08-08;1533.79;PJ;Ensino Médio;Ativo;Sales dos Dourados;CE;Não;1.6;8;11
394;Elisa Viana;Outro;2000-01-07;25;Casado(a);Assistente Administrativo;Marketing;2020-05-15;2367.75;CLT;Pós-graduação;Ativo;Farias;RJ;Não;7.9;5;15
395;Enzo Gabriel Peixoto;Outro;2001-06-15;23;Solteiro(a);Designer Gráfico;Administrativo;2024-11-02;3310.67;Estágio;Ensino Médio;Ativo;Cunha do Sul;BA;Não;8.8;13;13
396;Catarina Oliveira;Masculino;1998-10-22;26;Casado(a);Designer Gráfico;Recursos Humanos;2009-11-21;3877.61;Estágio;Ensino Médio;Desligado;Ferreira;DF;Sim;3.2;18;4
397;Cauê da Rosa;Feminino;1970-11-04;54;Casado(a);Gerente de Projetos;Recursos Humanos;2009-04-22;10368.18;Estágio;Pós-graduação;Ativo;da Mata de Sales;RS;Não;2.9;12;4
398;Srta. Camila Carvalho;Masculino;1981-06-21;43;Divorciado(a);Desenvolvedor;Financeiro;2013-05-29;5714.32;CLT;Pós-graduação;Desligado;Teixeira;RJ;Não;5.0;4;4
399;Davi Luiz da Cunha;Feminino;1970-04-14;55;Casado(a);Analista Financeiro;Financeiro;2002-04-23;4304.5;PJ;Superior Incompleto;Ativo;Moura;RJ;Não;7.8;10;2
400;Sofia Caldeira;Masculino;1978-11-18;46;Viúvo(a);Contador;Marketing;2023-01-20;4370.77;Temporário;Superior Completo;Ativo;Costela de Rocha;PR;Sim;9.9;19;14
401;Maria Julia Rocha;Outro;1967-12-29;57;Casado(a);Analista Financeiro;Recursos Humanos;2001-10-15;4848.43;PJ;Superior Incompleto;Desligado;Gomes do Galho;MG;Sim;1.1;1;7
402;Isabella Carvalho;Outro;2004-05-25;20;Casado(a);Coordenador de Marketing;Recursos Humanos;2003-04-28;5701.45;CLT;Superior Completo;Desligado;Teixeira;CE;Sim;3.3;17;6
403;Maria Clara da Cruz;Masculino;1968-12-10;56;Divorciado(a);Estagiário de TI;Financeiro;2011-08-09;1573.83;PJ;Ensino Médio;Desligado;da Conceição;GO;Sim;2.6;1;9
404;Dr. Luigi Souza;Masculino;1993-09-22;31;Divorciado(a);Analista de RH;Financeiro;2002-08-17;3482.14;CLT;Ensino Médio;Desligado;Aragão;PR;Não;8.6;0;9
405;Sra. Gabriela da Luz;Outro;1984-05-30;40;Viúvo(a);Assistente Administrativo;Financeiro;2015-03-08;2155.98;CLT;Superior Completo;Desligado;Lopes Grande;GO;Sim;1.9;16;14
406;Anthony da Rosa;Outro;1987-01-08;38;Solteiro(a);Analista de RH;Tecnologia da Informação;2001-05-10;3883.41;Temporário;Superior Completo;Desligado;Fernandes;PE;Sim;0.2;11;11
407;Maria Julia Rodrigues;Outro;1968-08-09;56;Divorciado(a);Assistente Administrativo;Logística;2020-04-09;1993.11;CLT;Superior Completo;Desligado;Pires;SP;Não;2.3;10;12
408;Bruno da Rosa;Outro;1965-04-29;60;Casado(a);Desenvolvedor;Administrativo;2006-11-16;5146.62;PJ;Pós-graduação;Ativo;Correia do Galho;GO;Sim;4.3;9;10
409;Dra. Catarina Pereira;Feminino;1971-09-18;53;Casado(a);Assistente Administrativo;Administrativo;2012-03-10;1897.0;PJ;Superior Incompleto;Desligado;Souza de Nascimento;DF;Sim;4.3;4;5
410;Yuri Viana;Feminino;1979-01-28;46;Solteiro(a);Estagiário de TI;Logística;2012-12-11;1769.16;CLT;Superior Incompleto;Desligado;Viana do Norte;MG;Sim;7.7;13;13
